"ID","Taxon","Observer","Source","Date","County","Location Quality","Latitude","Longitude","Location Description","Accuracy: Square Meters","Plant","Phenology","Phenology Code"
"cns18425","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2003-05-01","Monterey","high","36.485733","-121.232426","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18794","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2003-05-14","San Benito","high","36.547965","-121.210711","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18795","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2003-05-14","San Benito","high","36.547982","-121.211202","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18611","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2003-05-20","San Benito","high","36.478235","-121.176822","Bear Gulch","","Amsinckia menziesii var. intermedia","",""
"cns18612","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2003-05-20","San Benito","high","36.476392","-121.175973","Bear Gulch","","Amsinckia menziesii var. intermedia","",""
"cns18461","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-03-09","San Benito","high","36.499729","-121.229819","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18799","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-03-10","San Benito","high","36.506673","-121.228835","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18800","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-03-15","San Benito","high","36.483519","-121.165224","Bear Gulch","","Amsinckia menziesii var. intermedia","",""
"cns18805","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-03-17","San Benito","high","36.498763","-121.188935","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18806","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-03-18","San Benito","high","36.472491","-121.142258","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18807","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-03-18","San Benito","high","36.47325","-121.145845","Grassy Canyon","","Amsinckia menziesii var. intermedia","",""
"cns18680","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-03-24","San Benito","high","36.486594","-121.212816","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18681","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-03-24","San Benito","high","36.485952","-121.21206","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18683","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-03-26","San Benito","high","36.483816","-121.204274","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18684","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-03-26","San Benito","high","36.483008","-121.205096","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18249","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-03-29","San Benito","high","36.500192","-121.200535","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18597","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-04-07","San Benito","high","36.476109","-121.185221","Bear Gulch","","Amsinckia menziesii var. intermedia","",""
"cns18599","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-04-09","San Benito","high","36.483348","-121.184114","Condor Gulch","","Amsinckia menziesii var. intermedia","",""
