"ID","Taxon","Observer","Source","Date","County","Location Quality","Latitude","Longitude","Location Description","Accuracy: Square Meters","Plant","Phenology","Phenology Code"
"in:39390178","Phacelia ciliata","Lauren Glevanik","iNaturalist","2020-02-29","Yolo","high","38.524307","-121.788323","Yolo County, CA, USA","706","Phacelia ciliata","",""
"in:39500367","Phacelia ciliata","Richard Rachman","iNaturalist","2020-03-01","San Luis Obispo","high","35.203422","-119.850057","SANTA MARGAR","","Phacelia ciliata","",""
"in:5380855","Phacelia ciliata","craether","iNaturalist","2017-03-14","Orange","high","33.696548","-117.689774","Portola Springs, Irvine, CA","3019","Phacelia ciliata","",""
"in:6122387","Phacelia ciliata","silversea_starsong","iNaturalist","2017-03-24","Orange","high","33.585345","-117.81796","","","Phacelia ciliata","",""
"in:71769374","Phacelia ciliata","arboretum_amy","iNaturalist","2021-03-21","Orange","high","33.641012","-117.84333","Irvine, CA","","Phacelia ciliata","",""
"in:72050933","Phacelia ciliata","recrowe","iNaturalist","2021-03-25","Orange","high","33.641078","-117.843505","UCI Ecological Preserve","50","Phacelia ciliata","",""
"in:72588032","Phacelia ciliata","ekoberle","iNaturalist","2021-03-30","Orange","high","33.641083","-117.843322","University of California, Irvine, Irvine, CA","78","Phacelia ciliata","",""
"in:73340704","Phacelia ciliata","spifferella /<br> Becky Escalante","iNaturalist","2021-04-08","San Diego","high","32.715103","-116.706108","Cleveland National Forest, Jamul, CA","78","Phacelia ciliata","",""
"in:74016213","Phacelia ciliata","Becky Escalante","iNaturalist","2021-04-14","San Diego","high","32.715905","-116.707213","Cleveland National Forest, Jamul, CA, US","78","Phacelia ciliata","",""
"in:74234527","Phacelia ciliata","spifferella /<br> Becky Escalante","iNaturalist","2021-04-15","San Diego","high","32.715689","-116.708386","Cleveland National Forest, Jamul, CA","1809","Phacelia ciliata","",""
"io11170","Phacelia ciliata","Liz Block","","2019-04-23","Kern","high","35.142317","-118.447184","","113","Phacelia ciliata","",""
"io150363","Phacelia ciliata","Ron Vanderhoff","","2025-03-30","Los Angeles","high","34.777155","-118.672188","Lancaster Rd. S side, at Tentrock Canyon crossing. +/- 7 km W Neenach, Mojave desert.","50","Phacelia ciliata","Flowering","F"
"io60926","Phacelia ciliata","Catherine Chang","East Bay Chapter CNPS Unusual Plants","2022-02-20","Contra Costa","high","37.972963","-121.837088","","50","Phacelia ciliata","",""
"io61711","Phacelia ciliata","Mike Russler","","2022-02-28","Fresno","high","36.039947","-120.182095","Hwy 33 south of S. Sutter Ave.","","Phacelia ciliata","",""
"io61712","Phacelia ciliata","Mike Russler","","2022-02-28","Fresno","high","36.039679","-120.181952","Hwy 33 south of S. Sutter Ave.","50","Phacelia ciliata","",""
"io61713","Phacelia ciliata","Mike Russler","","2022-02-28","Fresno","high","36.040198","-120.181962","Hwy 33 south of S. Sutter Ave.","50","Phacelia ciliata","",""
"io61727","Phacelia ciliata","Mike Russler","","2022-02-28","Fresno","high","36.039947","-120.182095","Hwy 33 south of S. Sutter Ave.","50","Phacelia ciliata","",""
"io63237","Phacelia ciliata","Liz Block","","2022-03-30","Kern","high","35.120512","-118.409503","","452","Phacelia ciliata","",""
"io82454","Phacelia ciliata","Ron Vanderhoff","","2023-02-19","Orange","high","33.690755","-117.644263","Dreaded Hill Trail, ca mid way from top and bottom, Whiting Ranch Park","50","Phacelia ciliata","Flowering","F"
